date,zone_id,carbon_mean,carbon_min,carbon_max,cfe_mean,cfe_min,cfe_max
2021,IT,280.084245,121.240000,439.060000,46.305932,15.410000,77.020000
2022,IT,321.617976,121.380000,447.330000,41.244127,13.930000,77.440000
2023,IT,251.819465,74.440000,429.930000,51.596057,20.390000,85.020000
2024,IT,207.299189,50.180000,345.650000,57.431828,20.900000,90.260000
